replicate,C0-R@42,C0-R@1337,C0-R@20260703,C1-M@42,C1-M@1337,C1-M@20260703,C4-M@42,C4-M@1337,C4-M@20260703,C4MixFT-M@42,C4MixFT-M@1337,C4Mix-M@42,C4Mix-M@1337,C4R-M@42,C4R-M@1337
12,0.400092,0.407100,0.401489,0.420097,0.411952,0.403220,0.403841,0.383803,0.406386,0.404094,0.402139,0.401673,0.404876,0.415696,0.401989
13,0.405820,0.403507,0.419030,0.430813,0.420924,0.401607,0.416143,0.399784,0.405786,0.409065,0.429450,0.394644,0.410715,0.426138,0.400903
14,0.398908,0.398351,0.400787,0.406454,0.412454,0.388676,0.407294,0.378447,0.401670,0.401471,0.404753,0.389099,0.413521,0.412537,0.384714
15,0.405866,0.394329,0.400633,0.406315,0.406851,0.391042,0.397675,0.381853,0.403517,0.379872,0.391597,0.383485,0.398632,0.411503,0.381978
0,0.399312,0.416313,0.413956,0.426194,0.417151,0.402376,0.410329,0.396698,0.407616,0.406518,0.422647,0.402642,0.403869,0.418310,0.384856
1,0.416420,0.406421,0.416815,0.422702,0.421709,0.401005,0.422626,0.402968,0.427749,0.413690,0.415099,0.396866,0.412808,0.417606,0.389460
2,0.389217,0.401202,0.398656,0.403376,0.402009,0.384107,0.404329,0.383820,0.400282,0.390894,0.404738,0.385819,0.390839,0.401782,0.380665
3,0.404789,0.411638,0.395580,0.409968,0.413702,0.387579,0.408252,0.376496,0.399014,0.399080,0.397106,0.399468,0.412019,0.412957,0.375972
56,0.405879,0.396003,0.403380,0.413180,0.407410,0.403291,0.402647,0.375634,0.405832,0.404726,0.404322,0.392409,0.403282,0.412254,0.396678
57,0.404960,0.407752,0.398119,0.415745,0.423027,0.394141,0.415008,0.397097,0.402395,0.403356,0.416073,0.404618,0.405442,0.411366,0.401213
58,0.384029,0.376435,0.377901,0.388003,0.381611,0.375920,0.388748,0.357203,0.377421,0.370127,0.380399,0.363516,0.381940,0.390275,0.366004
59,0.406958,0.399629,0.398867,0.419997,0.404412,0.389175,0.403234,0.372338,0.396218,0.398646,0.404519,0.388965,0.406728,0.404609,0.385918
36,0.398256,0.404393,0.404728,0.412650,0.417299,0.394818,0.410163,0.385100,0.404457,0.397715,0.395948,0.391511,0.398133,0.405164,0.392144
37,0.390786,0.394628,0.393113,0.403561,0.400845,0.391648,0.388281,0.385914,0.393139,0.388287,0.400840,0.370988,0.395425,0.406504,0.378020
38,0.401789,0.405718,0.411943,0.414237,0.411686,0.400168,0.404319,0.391666,0.406624,0.401675,0.406505,0.395915,0.411736,0.416659,0.395705
39,0.402594,0.384560,0.407312,0.398793,0.411712,0.398074,0.390811,0.377561,0.396690,0.402194,0.399842,0.381330,0.399857,0.406369,0.376595
52,0.411171,0.405331,0.410713,0.403951,0.418520,0.383925,0.403566,0.387646,0.391951,0.398117,0.412013,0.392698,0.407911,0.416406,0.398225
53,0.382331,0.371212,0.381726,0.383786,0.381533,0.374156,0.377470,0.352142,0.373361,0.377136,0.377455,0.356947,0.380057,0.383912,0.360783
