contrast,arm_a,arm_b,scope,seed,ci95_lo,ci95_hi
H1,C4-M,C1-M,mean,,-0.01590,-0.00004
H1,C4-M,C1-M,per_seed,42,-0.01832,0.00840
H1,C4-M,C1-M,per_seed,1337,-0.04238,-0.01589
H1,C4-M,C1-M,per_seed,20260703,-0.00520,0.02459
H2,C4-M,C4MixFT-M,mean,,-0.02086,0.00245
H2,C4-M,C4MixFT-M,per_seed,42,-0.01112,0.02152
H2,C4-M,C4MixFT-M,per_seed,1337,-0.03878,-0.00775
H3,C4MixFT-M,C4Mix-M,mean,,-0.00467,0.01592
H3,C4MixFT-M,C4Mix-M,per_seed,42,-0.00466,0.02659
H3,C4MixFT-M,C4Mix-M,per_seed,1337,-0.01635,0.01616
H4,C4-M,C4R-M,mean,,-0.01572,0.00596
H4,C4-M,C4R-M,per_seed,42,-0.02275,0.00816
H4,C4-M,C4R-M,per_seed,1337,-0.02096,0.01477
H5,C1-M,C0-R,mean,,-0.00697,0.01018
H5,C1-M,C0-R,per_seed,42,-0.01046,0.02321
H5,C1-M,C0-R,per_seed,1337,-0.00653,0.02806
H5,C1-M,C0-R,per_seed,20260703,-0.02682,0.00639
