cell,seed,mAP,knife_AP,gun_AP,stick_AP,checkpoint_sha256
mono_single,42,0.3826125443,0.4149147014,0.1913768192,0.5415461123,4650efaf1fb40218f22ea5d5d5b007b52a62f482eef54c6dfe69b7a9330362b6
mono_single,1337,0.3704895861,0.4292939703,0.1918303538,0.4903444341,40a0574c23d07b76f03f67a250fe2ce1faa33322ec7b65a064a123a28743c923
mono_single,20260703,0.3685519042,0.4146249550,0.1863041962,0.5047265616,cddd5a1ce78fbebed6ddb91dde0c2f6591039594fe416525075cca2c4467c9fc
mono_mixed,42,0.3707264092,0.3947004289,0.1884683903,0.5290104085,9a51e1556700220ffd90ac654e0bc3de37c11fd89d38d728449b3166a06d39a6
mono_mixed,1337,0.3699296920,0.4209039930,0.1898009670,0.4990841160,6324d831e0b77574537e92f4b07ec44c3e0952676b8441851160a4341e9f2000
mono_mixed,20260703,0.3649614700,0.4108377480,0.1845393580,0.4995073039,6128fa7b947dc48bbeeda139c7f8a48c20d53804e85dd95682b1ddb8b94aaeef
shuf_single,42,0.3733622234,0.4114696540,0.1910787981,0.5175382183,e2ad7127b682c81f212814204d2a9a60833effc3c65a7e67caaf848cf588e7cb
shuf_single,1337,0.3725457346,0.4245153034,0.1867176548,0.5064042455,8a4e8f88dc57f236b438b5349d226d64df2970ec9428acceaee8d9e9dd306c88
shuf_single,20260703,0.3798509660,0.4100730608,0.1887679064,0.5407119306,87e8f533aa9b3a4749e8cf5b585260db97f104aea0a06a250ddc23a2aeac7800
shuf_mixed,42,0.3722481099,0.4224717116,0.1877927705,0.5064798476,67f802f22e298b7c7f3ae06ad0c86b52f9fb0ee7e1ef178a5c1ccc91e9716afc
shuf_mixed,1337,0.3700788116,0.4219657034,0.1819279737,0.5063427577,61ca4a6c4369d2e896a996c914ad206e194bb7ce35e3d94006248e6cdab8041c
shuf_mixed,20260703,0.3654291411,0.3957804669,0.1850283993,0.5154785572,b8871be0584447fb9772cd70f65a2f240b29bafeb48169f00364b3f1d1af48be
