arm,seed,checkpoint_sha_matches_lock_plan,n_frozen_predictions,matched_fp_recall,matched_fp_threshold_from_val,reference_fp_per_image_C0Std,matched_fp_test_fp_per_image,q25_macro_recall_iou50,map75,mean_matched_iou,taxonomy_background_or_spurious_count,taxonomy_background_or_spurious_per_image,op_p90_fp_per_image,op_p90_threshold_from_val,map50_95_stored,map50_stored,op_p90_test_recall,op_p90_test_precision,taxonomy_true_positive,taxonomy_duplicate,taxonomy_class_confusion,taxonomy_localization_error,taxonomy_partial_wrong_overlap,alt_background_plus_partial_count,alt_background_plus_partial_per_image,taxonomy_FN,diag_test_reselected_matched_fp_threshold,diag_test_reselected_matched_fp_recall,diag_test_reselected_matched_fp_per_image,diag_test_reselected_op_p90_threshold,diag_test_reselected_op_p90_fp_per_image,diag_test_reselected_op_p90_reached,val_matched_fp_recall,val_q25_macro_recall_iou50,val_map75,val_mean_matched_iou,val_op_p90_fp_per_image
C0-R,42,True,2497,0.4956896551724138,0.37723,0.05235231694375663,0.06462984723854288,0.38493556252176947,0.43321280936974776,0.8137216141057143,30,0.011750881316098707,0.04661182922052487,0.6021,0.40402320757026444,0.5979903628426356,0.47126436781609193,0.8921124206708976,1035,22,41,57,15,45,0.01762632197414806,1053,0.54333,0.47844827586206895,0.05248726987857422,0.70658,0.040736388562475516,True,0.401208740120874,0.31312103788883977,0.3942909631851025,0.8056968364234518,0.0314821365405023
C0-R,1337,True,2473,0.4942528735632184,0.35283,0.05235231694375663,0.07403055229142186,0.3620294903053523,0.4262524817358648,0.8166463089563611,40,0.015667841754798278,0.043478260869565216,0.69707,0.4001271191798726,0.5905861366801751,0.446360153256705,0.8935762224352828,1032,34,51,51,13,53,0.020759890325107718,1056,0.62409,0.45977011494252873,0.05248726987857422,0.76163,0.03916960438699569,True,0.40911204091120407,0.31986338395007125,0.40640800497627355,0.8087899284291342,0.030420940926777502
C0-R,20260703,True,2488,0.47653256704980845,0.40404,0.05235231694375663,0.0708969839404622,0.35843492395216536,0.43531802869069813,0.8133422381327768,34,0.013317665491578536,0.03251077164120642,0.78304,0.4046845061582994,0.5924013036843222,0.41475095785440613,0.9125395152792413,995,27,48,61,11,45,0.01762632197414806,1093,0.54294,0.45977011494252873,0.05248726987857422,0.7284,0.038777908343125736,True,0.39748953974895396,0.3305420413779547,0.3989680038797495,0.8064289315397823,0.02865228157056951
C1-M,42,True,5008,0.4952107279693487,0.39646,0.05235231694375663,0.06149627888758324,0.4172483455242076,0.4358556441844342,0.813735007957406,32,0.01253427340383862,0.036036036036036036,0.63189,0.409521977091374,0.6010742055682906,0.4521072796934866,0.9111969111969112,1034,23,29,58,15,47,0.018409714061887975,1054,0.46911,0.4818007662835249,0.05248726987857422,0.55233,0.04230317273795535,True,0.4100418410041841,0.32578013661604993,0.41532648032308245,0.8099252559070235,0.0307746727980191
C1-M,1337,True,5056,0.5052681992337165,0.39841,0.05235231694375663,0.07050528789659224,0.42541971438523163,0.4183788828603032,0.8123816849295016,32,0.01253427340383862,0.04191147669408539,0.70844,0.4109720976215899,0.6059762561408554,0.4549808429118774,0.8987701040681173,1055,37,37,60,14,46,0.018018018018018018,1033,0.57948,0.4846743295019157,0.05248726987857422,0.71986,0.04034469251860556,True,0.4165504416550442,0.3314560912084132,0.4081244148379166,0.8030386169534062,0.0307746727980191
C1-M,20260703,True,5143,0.4885057471264368,0.39365,0.05235231694375663,0.0708969839404622,0.40115406942993154,0.4069771380583344,0.8137533799414713,28,0.010967489228358794,0.045828437132784956,0.64628,0.39315803003366584,0.5846428789764203,0.44396551724137934,0.8879310344827587,1020,33,48,60,12,40,0.015667841754798278,1068,0.56975,0.46455938697318006,0.05248726987857422,0.76052,0.03760282021151586,True,0.3886564388656439,0.29581797631333234,0.3833906003055699,0.8016606733275569,0.029359745313052705
C2-M,42,True,4827,0.507183908045977,0.28915,0.05235231694375663,0.07324716020368194,0.4028921397886915,0.4400437748723257,0.8151854393437484,32,0.01253427340383862,0.036036036036036036,0.64486,0.41330372303106166,0.604060770046159,0.460727969348659,0.9127134724857685,1059,43,44,57,11,43,0.016842929886408148,1029,0.43892,0.48898467432950193,0.05248726987857422,0.55783,0.04230317273795535,True,0.399349139934914,0.31240355791439384,0.40078197302973145,0.8066412444480797,0.029713477184294304
C3-M,42,True,5338,0.48227969348659006,0.44026,0.05235231694375663,0.06698002350176263,0.38570997329618023,0.4274007810225238,0.8134489701644597,21,0.008225616921269096,0.04308656482569526,0.67109,0.4015465150285709,0.5867838460667095,0.43582375478927204,0.8921568627450981,1007,45,33,63,9,30,0.011750881316098707,1081,0.57225,0.45737547892720304,0.05248726987857422,0.70037,0.038386212299255776,True,0.3854021385402139,0.29811784362867955,0.38596917109363577,0.80345618142758,0.029359745313052705
CBox-M,42,True,2343,0.49137931034482757,0.38791,0.05235231694375663,0.06306306306306306,0.4266318355973528,0.4176965383472301,0.8110913427172933,30,0.011750881316098707,0.04191147669408539,0.68661,0.4065824726195607,0.6089823062043984,0.4444444444444444,0.8966183574879227,1026,23,38,65,5,35,0.013709361535448493,1062,0.54396,0.4698275862068966,0.05248726987857422,0.73069,0.03916960438699569,True,0.403068340306834,0.3395498550297312,0.4019152775415201,0.8025457434074497,0.0311284046692607
C4-M,42,True,5468,0.49233716475095785,0.49152,0.05235231694375663,0.055620838229533884,0.40115406942993154,0.42533075438814233,0.8110315308367166,14,0.005483744614179397,0.03172737955346651,0.77581,0.4043930717327209,0.5973012762512596,0.4272030651340996,0.9167523124357657,1028,25,33,57,13,27,0.010575793184488837,1060,0.53152,0.48659003831417624,0.05248726987857422,0.68018,0.041128084606345476,True,0.40213854021385403,0.327328124232149,0.41060626186943816,0.8102141876336727,0.02829854969932791
C4-M,1337,True,4918,0.4870689655172414,0.29008,0.05235231694375663,0.07285546415981199,0.37216417044003247,0.399835301262249,0.8124457247253523,26,0.010184097140618879,0.04739522130826479,0.52919,0.3810585302732456,0.5610381259107796,0.4521072796934866,0.8863849765258216,1017,56,41,50,13,39,0.01527614571092832,1071,0.44985,0.46120689655172414,0.05248726987857422,0.59625,0.03916960438699569,True,0.39609483960948394,0.33538257408226446,0.39721402920765875,0.8033971571256266,0.030420940926777502
C4-M,20260703,True,5410,0.507183908045977,0.36754,0.05235231694375663,0.07677242459851155,0.4208196911645188,0.4244606717193024,0.8080159160917725,32,0.01253427340383862,0.05170387779083431,0.6022,0.40261084483676174,0.5934075470123799,0.47653256704980845,0.8828748890860693,1059,43,46,61,14,46,0.018018018018018018,1029,0.6007,0.47701149425287354,0.05248726987857422,0.71982,0.0399529964747356,True,0.4077173407717341,0.3605435156518748,0.389134272414697,0.7946617553482389,0.0314821365405023
C4R-M,42,True,4887,0.49712643678160917,0.33423,0.05235231694375663,0.06502154328241284,0.38481133170788345,0.4397867281045064,0.8163076046764929,24,0.009400705052878966,0.03407755581668625,0.66719,0.411564885002512,0.5908266697982348,0.4329501915708812,0.9122098890010091,1038,45,43,47,7,31,0.012142577359968664,1050,0.46569,0.4837164750957854,0.05248726987857422,0.55838,0.04230317273795535,True,0.38679683867968384,0.30161187281930313,0.39641024730858127,0.8104169653987522,0.027591085956844712
C4R-M,1337,True,4860,0.4870689655172414,0.31784,0.05235231694375663,0.06345475910693302,0.35212005108556826,0.41105027772317165,0.8143908410163566,31,0.012142577359968664,0.03799451625538582,0.6253,0.38403869951150305,0.5671452044849757,0.4382183908045977,0.9041501976284585,1017,33,34,57,7,38,0.014884449667058363,1071,0.41562,0.4760536398467433,0.05248726987857422,0.5771,0.03956130043086565,True,0.41515574151557416,0.31133716644552556,0.38989682347422605,0.8052416752598582,0.0311284046692607
C4MixFT-M,42,True,5277,0.4837164750957854,0.47158,0.05235231694375663,0.06580493537015276,0.41858469755021477,0.41273318119652286,0.8099738735686444,22,0.008617312965139052,0.036427732079905996,0.75823,0.39879865476069115,0.5880449536515504,0.4228927203065134,0.9047131147540983,1010,33,51,54,8,30,0.011750881316098707,1078,0.6231,0.45881226053639845,0.05248726987857422,0.72253,0.03916960438699569,True,0.3909809390980939,0.3230035873998722,0.3876486629513658,0.8015601974870639,0.02865228157056951
C4MixFT-M,1337,True,5238,0.5004789272030651,0.4255,0.05235231694375663,0.07794751273012143,0.4165981655636828,0.4301326000314106,0.8130501159244343,23,0.009009009009009009,0.0426948687818253,0.74209,0.40487600838175214,0.5944892236881115,0.4454022988505747,0.8950914340712224,1045,44,43,78,11,34,0.013317665491578536,1043,0.66047,0.467911877394636,0.05248726987857422,0.77321,0.03956130043086565,True,0.4235239423523942,0.356297606762003,0.3820611921968012,0.7961913644394124,0.030420940926777502
C4Mix-M,42,True,5077,0.46551724137931033,0.45936,0.05235231694375663,0.05914610262436349,0.41730755834204114,0.4104214502503487,0.812334147589651,25,0.009792401096748922,0.0227183705444575,0.83671,0.3884427366641972,0.5656444089739663,0.36302681992337166,0.928921568627451,972,38,37,45,6,31,0.012142577359968664,1116,0.5196,0.45737547892720304,0.05248726987857422,0.64945,0.038777908343125736,True,0.38400743840074386,0.31720969089390144,0.37452616722709575,0.804392844966576,0.024053767244428724
